,product_id,store_id,brand_id,date,sales_product,MA7_P,LAG7_P,sales_brand,MA7_B,LAG7_B,sales_store,MA7_S,LAG7_S
110,0,0,0,2021-01-23,14,9.0,1.0,27,27.0,8.0,35,49.57142857142857,26.0
115,0,0,0,2021-01-24,14,10.857142857142858,0.0,34,29.714285714285715,11.0,47,50.857142857142854,27.0
120,0,0,0,2021-01-25,18,12.857142857142858,11.0,22,33.0,29.0,34,53.714285714285715,63.0
125,0,0,0,2021-01-26,11,13.857142857142858,11.0,18,32.0,32.0,40,49.57142857142857,52.0
130,0,0,0,2021-01-27,19,13.857142857142858,16.0,32,30.0,44.0,52,47.857142857142854,72.0
135,0,0,0,2021-01-28,2,14.285714285714286,9.0,35,28.285714285714285,31.0,52,45.0,53.0
140,0,0,0,2021-01-29,4,13.285714285714286,15.0,18,28.857142857142858,34.0,42,44.857142857142854,54.0
145,0,0,0,2021-01-30,18,11.714285714285714,14.0,40,26.571428571428573,27.0,69,43.142857142857146,35.0
150,0,0,0,2021-01-31,6,12.285714285714286,14.0,29,28.428571428571427,34.0,61,48.0,47.0
155,0,0,0,2021-02-01,8,11.142857142857142,18.0,25,27.714285714285715,22.0,51,50.0,34.0
160,0,0,0,2021-02-02,6,9.714285714285714,11.0,17,28.142857142857142,18.0,44,52.42857142857143,40.0
165,0,0,0,2021-02-03,17,9.0,19.0,34,28.0,32.0,49,53.0,52.0
170,0,0,0,2021-02-04,3,8.714285714285714,2.0,26,28.285714285714285,35.0,48,52.57142857142857,52.0
175,0,0,0,2021-02-05,13,8.857142857142858,4.0,33,27.0,18.0,47,52.0,42.0
180,0,0,0,2021-02-06,17,10.142857142857142,18.0,55,29.142857142857142,40.0,78,52.714285714285715,69.0
185,0,0,0,2021-02-07,8,10.0,6.0,18,31.285714285714285,29.0,40,54.0,61.0
190,0,0,0,2021-02-08,1,10.285714285714286,8.0,11,29.714285714285715,25.0,14,51.0,51.0
195,0,0,0,2021-02-09,19,9.285714285714286,6.0,43,27.714285714285715,17.0,74,45.714285714285715,44.0
200,0,0,0,2021-02-10,14,11.142857142857142,17.0,39,31.428571428571427,34.0,52,50.0,49.0
205,0,0,0,2021-02-11,6,10.714285714285714,3.0,25,32.142857142857146,26.0,38,50.42857142857143,48.0
210,0,0,0,2021-02-12,11,11.142857142857142,13.0,11,32.0,33.0,27,49.0,47.0
215,0,0,0,2021-02-13,7,10.857142857142858,17.0,22,28.857142857142858,55.0,34,46.142857142857146,78.0
220,0,0,0,2021-02-14,14,9.428571428571429,8.0,30,24.142857142857142,18.0,44,39.857142857142854,40.0
225,0,0,0,2021-02-15,2,10.285714285714286,1.0,28,25.857142857142858,11.0,34,40.42857142857143,14.0
230,0,0,0,2021-02-16,13,10.428571428571429,19.0,19,28.285714285714285,43.0,38,43.285714285714285,74.0
235,0,0,0,2021-02-17,16,9.571428571428571,14.0,41,24.857142857142858,39.0,62,38.142857142857146,52.0
240,0,0,0,2021-02-18,3,9.857142857142858,6.0,9,25.142857142857142,25.0,19,39.57142857142857,38.0
245,0,0,0,2021-02-19,17,9.428571428571429,11.0,40,22.857142857142858,11.0,68,36.857142857142854,27.0
250,0,0,0,2021-02-20,7,10.285714285714286,7.0,21,27.0,22.0,39,42.714285714285715,34.0
255,0,0,0,2021-02-21,3,10.285714285714286,14.0,40,26.857142857142858,30.0,67,43.42857142857143,44.0
260,0,0,0,2021-02-22,1,8.714285714285714,2.0,34,28.285714285714285,28.0,57,46.714285714285715,34.0
265,0,0,0,2021-02-23,5,8.571428571428571,13.0,13,29.142857142857142,19.0,36,50.0,38.0
270,0,0,0,2021-02-24,9,7.428571428571429,16.0,35,28.285714285714285,41.0,60,49.714285714285715,62.0
275,0,0,0,2021-02-25,3,6.428571428571429,3.0,30,27.428571428571427,9.0,50,49.42857142857143,19.0
280,0,0,0,2021-02-26,17,6.428571428571429,17.0,32,30.428571428571427,40.0,50,53.857142857142854,68.0
285,0,0,0,2021-02-27,11,6.428571428571429,7.0,30,29.285714285714285,21.0,37,51.285714285714285,39.0
290,0,0,0,2021-02-28,1,7.0,3.0,24,30.571428571428573,40.0,47,51.0,67.0
295,0,0,0,2021-03-01,9,6.714285714285714,1.0,35,28.285714285714285,34.0,65,48.142857142857146,57.0
300,0,0,0,2021-03-02,3,7.857142857142857,5.0,28,28.428571428571427,13.0,41,49.285714285714285,36.0
305,0,0,0,2021-03-03,13,7.571428571428571,9.0,29,30.571428571428573,35.0,43,50.0,60.0
310,0,0,0,2021-03-04,15,8.142857142857142,3.0,43,29.714285714285715,30.0,52,47.57142857142857,50.0
315,0,0,0,2021-03-05,14,9.857142857142858,17.0,35,31.571428571428573,32.0,57,47.857142857142854,50.0
320,0,0,0,2021-03-06,7,9.428571428571429,11.0,24,32.0,30.0,42,48.857142857142854,37.0
325,0,0,0,2021-03-07,13,8.857142857142858,1.0,26,31.142857142857142,24.0,31,49.57142857142857,47.0
330,0,0,0,2021-03-08,7,10.571428571428571,9.0,13,31.428571428571427,35.0,34,47.285714285714285,65.0
335,0,0,0,2021-03-09,15,10.285714285714286,3.0,30,28.285714285714285,28.0,49,42.857142857142854,41.0
340,0,0,0,2021-03-10,12,12.0,13.0,41,28.571428571428573,29.0,77,44.0,43.0
345,0,0,0,2021-03-11,17,11.857142857142858,15.0,37,30.285714285714285,43.0,45,48.857142857142854,52.0
350,0,0,0,2021-03-12,14,12.142857142857142,14.0,45,29.428571428571427,35.0,79,47.857142857142854,57.0
355,0,0,0,2021-03-13,12,12.142857142857142,7.0,20,30.857142857142858,24.0,37,51.0,42.0
360,0,0,0,2021-03-14,8,12.857142857142858,13.0,20,30.285714285714285,26.0,20,50.285714285714285,31.0
365,0,0,0,2021-03-15,14,12.142857142857142,7.0,29,29.428571428571427,13.0,62,48.714285714285715,34.0
370,0,0,0,2021-03-16,12,13.142857142857142,15.0,38,31.714285714285715,30.0,63,52.714285714285715,49.0
375,0,0,0,2021-03-17,0,12.714285714285714,12.0,10,32.857142857142854,41.0,34,54.714285714285715,77.0
380,0,0,0,2021-03-18,6,11.0,17.0,14,28.428571428571427,37.0,42,48.57142857142857,45.0
385,0,0,0,2021-03-19,8,9.428571428571429,14.0,18,25.142857142857142,45.0,25,48.142857142857146,79.0
390,0,0,0,2021-03-20,0,8.571428571428571,12.0,19,21.285714285714285,20.0,25,40.42857142857143,37.0
395,0,0,0,2021-03-21,11,6.857142857142857,8.0,28,21.142857142857142,20.0,42,38.714285714285715,20.0
400,0,0,0,2021-03-22,7,7.285714285714286,14.0,43,22.285714285714285,29.0,77,41.857142857142854,62.0
405,0,0,0,2021-03-23,10,6.285714285714286,12.0,29,24.285714285714285,38.0,49,44.0,63.0
410,0,0,0,2021-03-24,18,6.0,0.0,46,23.0,10.0,68,42.0,34.0
415,0,0,0,2021-03-25,16,8.571428571428571,6.0,22,28.142857142857142,14.0,50,46.857142857142854,42.0
420,0,0,0,2021-03-26,7,10.0,8.0,40,29.285714285714285,18.0,62,48.0,25.0
425,0,0,0,2021-03-27,2,9.857142857142858,0.0,18,32.42857142857143,19.0,25,53.285714285714285,25.0
430,0,0,0,2021-03-28,2,10.142857142857142,11.0,34,32.285714285714285,28.0,41,53.285714285714285,42.0
435,0,0,0,2021-03-29,0,8.857142857142858,7.0,29,33.142857142857146,43.0,42,53.142857142857146,77.0
440,0,0,0,2021-03-30,4,7.857142857142857,10.0,24,31.142857142857142,29.0,48,48.142857142857146,49.0
445,0,0,0,2021-03-31,9,7.0,18.0,27,30.428571428571427,46.0,54,48.0,68.0
450,0,0,0,2021-04-01,6,5.714285714285714,16.0,24,27.714285714285715,22.0,53,46.0,50.0
455,0,0,0,2021-04-02,8,4.285714285714286,7.0,28,28.0,40.0,50,46.42857142857143,62.0
460,0,0,0,2021-04-03,6,4.428571428571429,2.0,19,26.285714285714285,18.0,37,44.714285714285715,25.0
465,0,0,0,2021-04-04,8,5.0,2.0,30,26.428571428571427,34.0,54,46.42857142857143,41.0
470,0,0,0,2021-04-05,7,5.857142857142857,0.0,9,25.857142857142858,29.0,23,48.285714285714285,42.0
475,0,0,0,2021-04-06,11,6.857142857142857,4.0,30,23.0,24.0,47,45.57142857142857,48.0
480,0,0,0,2021-04-07,1,7.857142857142857,9.0,12,23.857142857142858,27.0,34,45.42857142857143,54.0
485,0,0,0,2021-04-08,0,6.714285714285714,6.0,21,21.714285714285715,24.0,52,42.57142857142857,53.0
490,0,0,0,2021-04-09,15,5.857142857142857,8.0,31,21.285714285714285,28.0,38,42.42857142857143,50.0
495,0,0,0,2021-04-10,4,6.857142857142857,6.0,22,21.714285714285715,19.0,30,40.714285714285715,37.0
500,0,0,0,2021-04-11,2,6.571428571428571,8.0,22,22.142857142857142,30.0,34,39.714285714285715,54.0
505,0,0,0,2021-04-12,11,5.714285714285714,7.0,22,21.0,9.0,36,36.857142857142854,23.0
510,0,0,0,2021-04-13,7,6.285714285714286,11.0,40,22.857142857142858,30.0,54,38.714285714285715,47.0
515,0,0,0,2021-04-14,2,5.714285714285714,1.0,10,24.285714285714285,12.0,24,39.714285714285715,34.0
520,0,0,0,2021-04-15,0,5.857142857142857,0.0,7,24.0,21.0,38,38.285714285714285,52.0
525,0,0,0,2021-04-16,2,5.857142857142857,15.0,14,22.0,31.0,47,36.285714285714285,38.0
530,0,0,0,2021-04-17,4,4.0,4.0,10,19.571428571428573,22.0,38,37.57142857142857,30.0
535,0,0,0,2021-04-18,14,4.0,2.0,29,17.857142857142858,22.0,37,38.714285714285715,34.0
540,0,0,0,2021-04-19,13,5.714285714285714,11.0,41,18.857142857142858,22.0,61,39.142857142857146,36.0
545,0,0,0,2021-04-20,2,6.0,7.0,18,21.571428571428573,40.0,29,42.714285714285715,54.0
550,0,0,0,2021-04-21,0,5.285714285714286,2.0,35,18.428571428571427,10.0,58,39.142857142857146,24.0
555,0,0,0,2021-04-22,4,5.0,0.0,30,22.0,7.0,49,44.0,38.0
560,0,0,0,2021-04-23,13,5.571428571428571,2.0,30,25.285714285714285,14.0,51,45.57142857142857,47.0
565,0,0,0,2021-04-24,6,7.142857142857143,4.0,25,27.571428571428573,10.0,47,46.142857142857146,38.0
570,0,0,0,2021-04-25,8,7.428571428571429,14.0,26,29.714285714285715,29.0,45,47.42857142857143,37.0
575,0,0,0,2021-04-26,14,6.571428571428571,13.0,14,29.285714285714285,41.0,43,48.57142857142857,61.0
580,0,0,0,2021-04-27,14,6.714285714285714,2.0,29,25.428571428571427,18.0,43,46.0,29.0
585,0,0,0,2021-04-28,9,8.428571428571429,0.0,38,27.0,35.0,68,48.0,58.0
590,0,0,0,2021-04-29,12,9.714285714285714,4.0,40,27.428571428571427,30.0,53,49.42857142857143,49.0
595,0,0,0,2021-04-30,18,10.857142857142858,13.0,35,28.857142857142858,30.0,49,50.0,51.0
600,0,0,0,2021-05-01,6,11.571428571428571,6.0,22,29.571428571428573,25.0,45,49.714285714285715,47.0
605,0,0,0,2021-05-02,16,11.571428571428571,8.0,23,29.142857142857142,26.0,47,49.42857142857143,45.0
610,0,0,0,2021-05-03,19,12.714285714285714,14.0,31,28.714285714285715,14.0,56,49.714285714285715,43.0
615,0,0,0,2021-05-04,3,13.428571428571429,14.0,21,31.142857142857142,29.0,40,51.57142857142857,43.0
620,0,0,0,2021-05-05,4,11.857142857142858,9.0,18,30.0,38.0,48,51.142857142857146,68.0
625,0,0,0,2021-05-06,6,11.142857142857142,12.0,16,27.142857142857142,40.0,39,48.285714285714285,53.0
630,0,0,0,2021-05-07,12,10.285714285714286,18.0,22,23.714285714285715,35.0,30,46.285714285714285,49.0
635,0,0,0,2021-05-08,14,9.428571428571429,6.0,39,21.857142857142858,22.0,50,43.57142857142857,45.0
640,0,0,0,2021-05-09,10,10.571428571428571,16.0,22,24.285714285714285,23.0,36,44.285714285714285,47.0
645,0,0,0,2021-05-10,3,9.714285714285714,19.0,18,24.142857142857142,31.0,37,42.714285714285715,56.0
650,0,0,0,2021-05-11,12,7.428571428571429,3.0,40,22.285714285714285,21.0,49,40.0,40.0
655,0,0,0,2021-05-12,6,8.714285714285714,4.0,25,25.0,18.0,61,41.285714285714285,48.0
660,0,0,0,2021-05-13,18,9.0,6.0,39,26.0,16.0,57,43.142857142857146,39.0
665,0,0,0,2021-05-14,1,10.714285714285714,12.0,20,29.285714285714285,22.0,42,45.714285714285715,30.0
670,0,0,0,2021-05-15,9,9.142857142857142,14.0,27,29.0,39.0,43,47.42857142857143,50.0
675,0,0,0,2021-05-16,12,8.428571428571429,10.0,44,27.285714285714285,22.0,73,46.42857142857143,36.0
680,0,0,0,2021-05-17,5,8.714285714285714,3.0,23,30.428571428571427,18.0,32,51.714285714285715,37.0
685,0,0,0,2021-05-18,11,9.0,12.0,33,31.142857142857142,40.0,45,51.0,49.0
690,0,0,0,2021-05-19,11,8.857142857142858,6.0,17,30.142857142857142,25.0,49,50.42857142857143,61.0
695,0,0,0,2021-05-20,19,9.571428571428571,18.0,39,29.0,39.0,69,48.714285714285715,57.0
700,0,0,0,2021-05-21,10,9.714285714285714,1.0,26,29.0,20.0,47,50.42857142857143,42.0
705,0,0,0,2021-05-22,6,11.0,9.0,16,29.857142857142858,27.0,30,51.142857142857146,43.0
710,0,0,0,2021-05-23,0,10.571428571428571,12.0,19,28.285714285714285,44.0,46,49.285714285714285,73.0
715,0,0,0,2021-05-24,0,8.857142857142858,5.0,30,24.714285714285715,23.0,45,45.42857142857143,32.0
720,0,0,0,2021-05-25,19,8.142857142857142,11.0,33,25.714285714285715,33.0,48,47.285714285714285,45.0
725,0,0,0,2021-05-26,12,9.285714285714286,11.0,22,25.714285714285715,17.0,53,47.714285714285715,49.0
730,0,0,0,2021-05-27,8,9.428571428571429,19.0,30,26.428571428571427,39.0,60,48.285714285714285,69.0
735,0,0,0,2021-05-28,2,7.857142857142857,10.0,5,25.142857142857142,26.0,26,47.0,47.0
740,0,0,0,2021-05-29,6,6.714285714285714,6.0,17,22.142857142857142,16.0,36,44.0,30.0
745,0,0,0,2021-05-30,5,6.714285714285714,0.0,26,22.285714285714285,19.0,29,44.857142857142854,46.0
750,0,1,0,2021-01-01,18,,,33,23.285714285714285,30.0,38,42.42857142857143,45.0
755,0,1,0,2021-01-02,14,,,50,23.714285714285715,33.0,62,41.42857142857143,48.0
760,0,1,0,2021-01-03,4,,,22,26.142857142857142,22.0,50,43.42857142857143,53.0
765,0,1,0,2021-01-04,9,,,15,26.142857142857142,30.0,27,43.0,60.0
770,0,1,0,2021-01-05,6,,,8,24.0,5.0,21,38.285714285714285,26.0
775,0,1,0,2021-01-06,16,,,39,24.428571428571427,17.0,63,37.57142857142857,36.0
780,0,1,0,2021-01-07,6,,,30,27.571428571428573,26.0,48,41.42857142857143,29.0
785,0,1,0,2021-01-08,11,10.428571428571429,18.0,25,28.142857142857142,33.0,35,44.142857142857146,38.0
790,0,1,0,2021-01-09,16,9.428571428571429,14.0,25,27.0,50.0,52,43.714285714285715,62.0
795,0,1,0,2021-01-10,12,9.714285714285714,4.0,33,23.428571428571427,22.0,56,42.285714285714285,50.0
800,0,1,0,2021-01-11,19,10.857142857142858,9.0,40,25.0,15.0,59,43.142857142857146,27.0
805,0,1,0,2021-01-12,3,12.285714285714286,6.0,31,28.571428571428573,8.0,60,47.714285714285715,21.0
810,0,1,0,2021-01-13,9,11.857142857142858,16.0,13,31.857142857142858,39.0,38,53.285714285714285,63.0
815,0,1,0,2021-01-14,2,10.857142857142858,6.0,23,28.142857142857142,30.0,34,49.714285714285715,48.0
820,0,1,0,2021-01-15,8,10.285714285714286,11.0,32,27.142857142857142,25.0,58,47.714285714285715,35.0
825,0,1,0,2021-01-16,12,9.857142857142858,16.0,15,28.142857142857142,25.0,20,51.0,52.0
830,0,1,0,2021-01-17,17,9.285714285714286,12.0,36,26.714285714285715,33.0,65,46.42857142857143,56.0
835,0,1,0,2021-01-18,14,10.0,19.0,21,27.142857142857142,40.0,31,47.714285714285715,59.0
840,0,1,0,2021-01-19,3,9.285714285714286,3.0,8,24.428571428571427,31.0,22,43.714285714285715,60.0
845,0,1,0,2021-01-20,14,9.285714285714286,9.0,16,21.142857142857142,13.0,37,38.285714285714285,38.0
850,0,1,0,2021-01-21,1,10.0,2.0,17,21.571428571428573,23.0,43,38.142857142857146,34.0
855,0,1,0,2021-01-22,14,9.857142857142858,8.0,28,20.714285714285715,32.0,59,39.42857142857143,58.0
860,0,1,0,2021-01-23,7,10.714285714285714,12.0,26,20.142857142857142,15.0,39,39.57142857142857,20.0
865,0,1,0,2021-01-24,7,10.0,17.0,26,21.714285714285715,36.0,42,42.285714285714285,65.0
870,0,1,0,2021-01-25,16,8.571428571428571,14.0,28,20.285714285714285,21.0,57,39.0,31.0
875,0,1,0,2021-01-26,11,8.857142857142858,3.0,30,21.285714285714285,8.0,51,42.714285714285715,22.0
880,0,1,0,2021-01-27,18,10.0,14.0,27,24.428571428571427,16.0,46,46.857142857142854,37.0
885,0,1,0,2021-01-28,9,10.571428571428571,1.0,34,26.0,17.0,52,48.142857142857146,43.0
890,0,1,0,2021-01-29,8,11.714285714285714,14.0,37,28.428571428571427,28.0,69,49.42857142857143,59.0
895,0,1,0,2021-01-30,4,10.857142857142858,7.0,24,29.714285714285715,26.0,47,50.857142857142854,39.0
900,0,1,0,2021-01-31,5,10.428571428571429,7.0,23,29.428571428571427,26.0,43,52.0,42.0
905,0,1,0,2021-02-01,19,10.142857142857142,16.0,47,29.0,28.0,73,52.142857142857146,57.0
910,0,1,0,2021-02-02,1,10.571428571428571,11.0,21,31.714285714285715,30.0,45,54.42857142857143,51.0
915,0,1,0,2021-02-03,12,9.142857142857142,18.0,19,30.428571428571427,27.0,29,53.57142857142857,46.0
920,0,1,0,2021-02-04,5,8.285714285714286,9.0,27,29.285714285714285,34.0,52,51.142857142857146,52.0
925,0,1,0,2021-02-05,4,7.714285714285714,8.0,33,28.285714285714285,37.0,49,51.142857142857146,69.0
930,0,1,0,2021-02-06,0,7.142857142857143,4.0,21,27.714285714285715,24.0,35,48.285714285714285,47.0
935,0,1,0,2021-02-07,5,6.571428571428571,5.0,19,27.285714285714285,23.0,48,46.57142857142857,43.0
940,0,1,0,2021-02-08,5,6.571428571428571,19.0,34,26.714285714285715,47.0,63,47.285714285714285,73.0
945,0,1,0,2021-02-09,15,4.571428571428571,1.0,17,24.857142857142858,21.0,36,45.857142857142854,45.0
950,0,1,0,2021-02-10,3,6.571428571428571,12.0,21,24.285714285714285,19.0,32,44.57142857142857,29.0
955,0,1,0,2021-02-11,10,5.285714285714286,5.0,42,24.571428571428573,27.0,62,45.0,52.0
960,0,1,0,2021-02-12,8,6.0,4.0,15,26.714285714285715,33.0,47,46.42857142857143,49.0
965,0,1,0,2021-02-13,2,6.571428571428571,0.0,24,24.142857142857142,21.0,40,46.142857142857146,35.0
970,0,1,0,2021-02-14,18,6.857142857142857,5.0,38,24.571428571428573,19.0,44,46.857142857142854,48.0
975,0,1,0,2021-02-15,7,8.714285714285714,5.0,20,27.285714285714285,34.0,51,46.285714285714285,63.0
980,0,1,0,2021-02-16,4,9.0,15.0,24,25.285714285714285,17.0,45,44.57142857142857,36.0
985,0,1,0,2021-02-17,3,7.428571428571429,3.0,15,26.285714285714285,21.0,29,45.857142857142854,32.0
990,0,1,0,2021-02-18,5,7.428571428571429,10.0,25,25.428571428571427,42.0,46,45.42857142857143,62.0
995,0,1,0,2021-02-19,1,6.714285714285714,8.0,27,23.0,15.0,51,43.142857142857146,47.0
1000,0,1,0,2021-02-20,19,5.714285714285714,2.0,28,24.714285714285715,24.0,38,43.714285714285715,40.0
1005,0,1,0,2021-02-21,10,8.142857142857142,18.0,19,25.285714285714285,38.0,24,43.42857142857143,44.0
1010,0,1,0,2021-02-22,3,7.0,7.0,15,22.571428571428573,20.0,24,40.57142857142857,51.0
1015,0,1,0,2021-02-23,14,6.428571428571429,4.0,36,21.857142857142858,24.0,52,36.714285714285715,45.0
1020,0,1,0,2021-02-24,5,7.857142857142857,3.0,19,23.571428571428573,15.0,30,37.714285714285715,29.0
1025,0,1,0,2021-02-25,16,8.142857142857142,5.0,37,24.142857142857142,25.0,58,37.857142857142854,46.0
1030,0,1,0,2021-02-26,5,9.714285714285714,1.0,18,25.857142857142858,27.0,36,39.57142857142857,51.0
1035,0,1,0,2021-02-27,18,10.285714285714286,19.0,49,24.571428571428573,28.0,81,37.42857142857143,38.0
1040,0,1,0,2021-02-28,1,10.142857142857142,10.0,19,27.571428571428573,19.0,44,43.57142857142857,24.0
1045,0,1,0,2021-03-01,14,8.857142857142858,3.0,47,27.571428571428573,15.0,59,46.42857142857143,24.0
1050,0,1,0,2021-03-02,10,10.428571428571429,14.0,19,32.142857142857146,36.0,41,51.42857142857143,52.0
1055,0,1,0,2021-03-03,7,9.857142857142858,5.0,34,29.714285714285715,19.0,57,49.857142857142854,30.0
1060,0,1,0,2021-03-04,18,10.142857142857142,16.0,41,31.857142857142858,37.0,58,53.714285714285715,58.0
1065,0,1,0,2021-03-05,12,10.428571428571429,5.0,39,32.42857142857143,18.0,57,53.714285714285715,36.0
1070,0,1,0,2021-03-06,11,11.428571428571429,18.0,40,35.42857142857143,49.0,53,56.714285714285715,81.0
1075,0,1,0,2021-03-07,4,10.428571428571429,1.0,31,34.142857142857146,19.0,53,52.714285714285715,44.0
1080,0,1,0,2021-03-08,5,10.857142857142858,14.0,21,35.857142857142854,47.0,44,54.0,59.0
1085,0,1,0,2021-03-09,3,9.571428571428571,10.0,26,32.142857142857146,19.0,38,51.857142857142854,41.0
1090,0,1,0,2021-03-10,18,8.571428571428571,7.0,28,33.142857142857146,34.0,36,51.42857142857143,57.0
1095,0,1,0,2021-03-11,19,10.142857142857142,18.0,24,32.285714285714285,41.0,34,48.42857142857143,58.0
1100,0,1,0,2021-03-12,0,10.285714285714286,12.0,16,29.857142857142858,39.0,29,45.0,57.0
1105,0,1,0,2021-03-13,19,8.571428571428571,11.0,32,26.571428571428573,40.0,57,41.0,53.0
1110,0,1,0,2021-03-14,16,9.714285714285714,4.0,33,25.428571428571427,31.0,61,41.57142857142857,53.0
1115,0,1,0,2021-03-15,11,11.428571428571429,5.0,37,25.714285714285715,21.0,62,42.714285714285715,44.0
1120,0,1,0,2021-03-16,14,12.285714285714286,3.0,35,28.0,26.0,53,45.285714285714285,38.0
1125,0,1,0,2021-03-17,0,13.857142857142858,18.0,21,29.285714285714285,28.0,34,47.42857142857143,36.0
1130,0,1,0,2021-03-18,13,11.285714285714286,19.0,38,28.285714285714285,24.0,52,47.142857142857146,34.0
1135,0,1,0,2021-03-19,5,10.428571428571429,0.0,13,30.285714285714285,16.0,44,49.714285714285715,29.0
1140,0,1,0,2021-03-20,4,11.142857142857142,19.0,16,29.857142857142858,32.0,34,51.857142857142854,57.0
1145,0,1,0,2021-03-21,10,9.0,16.0,30,27.571428571428573,33.0,56,48.57142857142857,61.0
1150,0,1,0,2021-03-22,3,8.142857142857142,11.0,8,27.142857142857142,37.0,28,47.857142857142854,62.0
1155,0,1,0,2021-03-23,12,7.0,14.0,42,23.0,35.0,71,43.0,53.0
1160,0,1,0,2021-03-24,10,6.714285714285714,0.0,23,24.0,21.0,43,45.57142857142857,34.0
1165,0,1,0,2021-03-25,2,8.142857142857142,13.0,18,24.285714285714285,38.0,36,46.857142857142854,52.0
1170,0,1,0,2021-03-26,0,6.571428571428571,5.0,11,21.428571428571427,13.0,25,44.57142857142857,44.0
1175,0,1,0,2021-03-27,5,5.857142857142857,4.0,10,21.142857142857142,16.0,30,41.857142857142854,34.0
1180,0,1,0,2021-03-28,17,6.0,10.0,36,20.285714285714285,30.0,54,41.285714285714285,56.0
1185,0,1,0,2021-03-29,9,7.0,3.0,32,21.142857142857142,8.0,36,41.0,28.0
1190,0,1,0,2021-03-30,4,7.857142857142857,12.0,22,24.571428571428573,42.0,41,42.142857142857146,71.0
1195,0,1,0,2021-03-31,9,6.714285714285714,10.0,28,21.714285714285715,23.0,49,37.857142857142854,43.0
1200,0,1,0,2021-04-01,11,6.571428571428571,2.0,30,22.428571428571427,18.0,45,38.714285714285715,36.0
1205,0,1,0,2021-04-02,1,7.857142857142857,0.0,18,24.142857142857142,11.0,48,40.0,25.0
1210,0,1,0,2021-04-03,12,8.0,5.0,26,25.142857142857142,10.0,46,43.285714285714285,30.0
1215,0,1,0,2021-04-04,7,9.0,17.0,33,27.428571428571427,36.0,52,45.57142857142857,54.0
1220,0,1,0,2021-04-05,1,7.571428571428571,9.0,10,27.0,32.0,38,45.285714285714285,36.0
1225,0,1,0,2021-04-06,19,6.428571428571429,4.0,32,23.857142857142858,22.0,52,45.57142857142857,41.0
1230,0,1,0,2021-04-07,0,8.571428571428571,9.0,31,25.285714285714285,28.0,55,47.142857142857146,49.0
1235,0,1,0,2021-04-08,4,7.285714285714286,11.0,20,25.714285714285715,30.0,20,48.0,45.0
1240,0,1,0,2021-04-09,8,6.285714285714286,1.0,22,24.285714285714285,18.0,52,44.42857142857143,48.0
1245,0,1,0,2021-04-10,16,7.285714285714286,12.0,29,24.857142857142858,26.0,60,45.0,46.0
1250,0,1,0,2021-04-11,8,7.857142857142857,7.0,30,25.285714285714285,33.0,51,47.0,52.0
1255,0,1,0,2021-04-12,10,8.0,1.0,40,24.857142857142858,10.0,68,46.857142857142854,38.0
1260,0,1,0,2021-04-13,14,9.285714285714286,19.0,16,29.142857142857142,32.0,43,51.142857142857146,52.0
1265,0,1,0,2021-04-14,5,8.571428571428571,0.0,31,26.857142857142858,31.0,37,49.857142857142854,55.0
